review_id,sentiment_label,sentiment_score,sentiment_reason
2Y4bCyURdWJswn9X0tPTdg,positive,0.7,"Good atmosphere, beer, friendly staff."
Ka_ERhEOc0xJUpkcrYwkEw,positive,0.8,"High praise, great service, fun."
GnNFeuLBfaTgW1ttFX20lw,positive,0.75,"Positive praise, great service."
zH-SEFwbTuJESYoGiNq4Mw,positive,0.85,"Amazing place, great location, excellent staff."
0mGZk8GbVwazdCaf9Fl8rQ,positive,0.9,"Great atmosphere, outstanding staff."
qVYqL-69jjhLIDQ_E4GsUw,negative,-0.8,Poor food quality and service.
EECnKqOZwgb0YCZZIumDAw,positive,0.8,"Delicious food, creative drinks, great setting."
lOiIDa414fAgULXW7uTLCA,positive,0.8,"Excellent food, drinks, and comfortable patio experience."
yAhTlL2iDiGdvt8QPk4LLA,negative,-0.6,"Overpriced, poor service, disappointing experience."
gwbZISfCY8aenXe8mvFOiQ,negative,-0.8,"Terrible food, slow service, overpriced."
kNx74DAyP4huBdrxnEEr9Q,neutral,0.0,"Mixed quality, average experience."
2T-x1AkiCMkUrGu_J-5rWA,neutral,0.1,"Good atmosphere, hygiene concerns."
TzqCODk5SNKYBI-hCqw06A,negative,-0.7,"Rude staff, poor service, bad bowling."
dHXpUaAHHPylpfEGsUgIgA,positive,0.7,"Great food, friendly service, convenient."
t2bkrC1KgdPkp0qQ62TxjQ,neutral,0.0,"Good food, long wait times."
CmhdlTSkkJuSzSUyMhY0EQ,positive,0.8,"Excellent sandwich, clean, great service."
PHPbpYNhzBRGD7CpJwQm3g,negative,-0.3,"Great food, poor hours, parking issues."
ijUZeqHTgz_iis59L8q7HQ,negative,-0.8,"Long line, slow service, disorganized fast food."
oFpKtjmoMAmHpyU6MdNKzQ,negative,-0.9,"Worst experience, long wait, warm sandwich."
oWqvJCsYEHZT11yhnwqF2g,positive,0.8,"Fresh food, great service, enjoyable meal."
d9neXdEzE9S6VhlCjI6NSQ,positive,0.7,"Tasty food, highly recommend."
XaOBMuBobDUm3po81-vRWQ,positive,0.9,"Best pizza, sweet staff, will return."
URiOcjm-5v-uxw3M4gnOeg,positive,0.6,"Convenient location, outdoor dining, positive update."
B7vNbmXDh42K6EqdB85hqg,positive,0.85,"Five star service, great pizza, friendly owner."
5m9xK5jmV-2oj0JrqjOxIw,positive,0.8,"Amazing pizza, delicious lasagna, will order again."
gsQZfCjLxHOdWnvaIYVY7w,positive,0.9,"Best pizza, great value, generous toppings."
IxAZtKSNasVU1X5TAMPu3Q,negative,-0.7,"High prices, poor value, unsatisfactory food."
sgiQmAsjuKWgLEkPx2lTHg,negative,-0.3,Food fine but overpriced and small portions.
vbXTXVrfQ-cew4m15l7IAQ,negative,-0.9,"Moldy food, poor service, health concerns."
zbINfe_qLaYlqm_IZHm2Jg,negative,-0.8,"Terrible pizza, poor service, better alternatives."
-A2KYbJuX33VB_84YfhMUg,negative,-0.7,"Long wait, no food, high cost, repeated issue."
JJJXMUpW4Vw2puzEvkLFng,negative,-0.9,"Filthy, old pizza, poor service, dangerous."
7Z-3a-hQ0xInDjSMxg22Zg,negative,-0.6,"Salted burger, stale fries, unsatisfactory."
k2woW1lVPb6CDsD35Ss6Pg,neutral,0.0,"Price high, deal makes it acceptable."
7VFhmY8UgDiNdV0gzN3Uuw,positive,0.8,"Great food, hidden gem, worth the wait."
YavZiDYgViBD1I24sKqGYQ,positive,0.7,"Great food, friendly staff, delivery issue resolved."
LuetR_-A_4ZzxaIhmV1tMQ,neutral,0.0,"Good desserts, poor main dishes, hard to locate."
cxLGYf5bPU-wsDG5LBUVeg,positive,0.95,"Extremely enthusiastic praise for food, staff, service."
rMOr81aMr8a_5_TM-KUj0g,positive,0.8,Positive review of food and friendly staff.
LZKHm5pi-DtgouDtrIzAfQ,positive,0.85,"Positive comments on food, service, price, and atmosphere."
klYmupNXs5W_dF8GxEMJ-A,positive,0.7,"Positive about food and staff, moderate tone."
96jR1ta5P2B9dK621XuNKA,negative,-0.9,"Harassment, unsafe experience, negative recommendation."
3Adi-tfRA-pFTeo8A8IqBg,negative,-0.8,"Rude owner, poor pizza quality, negative."
EpW_RasCAWOnBaOH4zxVTA,positive,0.9,"Delicious dessert, highly praised."
Su1fSP9FSJMyksHXFlCC6w,positive,0.8,"Fast, hot food, friendly service."
PGumxbw8Y66uDq73iXF5hQ,neutral,0.0,"Mixed food quality, service fine."
Uw5-RSfKTIj5f4CWgigmDw,positive,0.8,Positive review of breakfast items.
rTblbtOokTy6XVq79rDgBg,positive,0.8,"Positive review praising food, service, and coffee."
AhLLvNWimvzPRyRB2zfv3g,negative,-0.7,"Disappointed with seating and service, overall negative experience."
pXM88P8T7FXe4XGEPJbq1Q,negative,-0.8,"Reviewer advises against visiting, negative experience."
q_B888y743XMWFLRVtn5Yw,positive,0.8,"Positive review praising staff, food, and kitchen view."
UHtOcW0GOu0iBPpcPyLlxQ,positive,0.9,Enthusiastic praise for authentic Vietnamese food.
Tg5qsrsyueL0eHkZft9Q8Q,positive,0.6,"Good mains, craving again despite price."
wJdkklC8vR89CAtyjjdmjg,negative,-0.8,"Moldy pudding, very disappointed."
1JiTDsSUV7OD3RxKyZHC3Q,positive,0.7,"Fresh, well executed, superb sandwiches."
IWjSZC0MLEF3gnZEUTnLcg,positive,0.6,"Taste buds loved, personal favorite."
mEAubZQKbmIL0Zjmw8Z_rQ,positive,0.8,"Best traditional Cubans, favorite."
KRhiZZSCqT56-FajfmBzcA,positive,0.6,"Positive overall, good food, mixed service."
tGRawDgqpt58KUhMk11s6Q,negative,-0.8,"Extremely salty, bad curry, disappointed."
ixuFWi5Sxr_FvQx0r8G_sg,positive,0.7,"Great food, satisfied, positive."
x9OSrrO9eLQGBI_AhHj-8A,negative,-0.9,"Overcooked, underseasoned, bad service."
0SR4WeJ0VfApFAqM0WTycw,positive,0.95,"Excellent food, great service, enthusiastic."
yxwP78EWhtPI0fOIHWtIxg,positive,0.8,"Positive review with praise, minor critique."
kR9Dh40H_0JDB9uOzbEqTA,positive,0.85,"Positive review, compliments food and service."
4H1qoXel_GoM9o4KXW6ylA,positive,0.9,"Positive review, praises food, vibe, service."
rqeyP7imVNL4V14AKWiqOQ,positive,0.8,"Positive review, compliments shop and host."
ElrtamTGoMuf-4qwCT4CXg,positive,0.85,"Positive review, praises service and pastries."
DnGwzbqK8tq6IkqgjZnNJQ,positive,0.8,Positive review praising staff and food.
Jey6CvWrOuDA7P2bX1sTPg,positive,0.9,"Enjoys food, drinks, dog-friendly."
l_RP-sQE81LceUaUtwH58Q,negative,-0.4,"Negative about sangria, but positive about venue."
NImmdMzmuIThkaVEVhMP5Q,negative,-0.8,"Very negative experience, denied refund."
ioN38VkjY160j8EZ_AzwKA,negative,-0.5,Good service but poor communication and attitude.
IF6J8ajv-hHUJ3GSSqOspA,neutral,-0.1,Mixed feelings: good food but high prices.
q6LKw7u9UiDFC7BzIXrYGg,positive,0.9,Excellent pizza and friendly staff.
CLHqnvgkhZrSogxWDsQ9Pw,positive,0.8,Delicious pizza and knots.
bo_DAyk6P9cJUkLb0KM_CA,positive,0.7,"Good pizza, friendly atmosphere, minor oiliness."
k137ISpBSRZ-97rCKqAUAw,positive,0.95,Obsessed with flavorful pizzas.
C_hBstbMUp1oB2Iei-AJ7w,negative,-0.3,"Disappointed with Korean fusion, may not return."
DAqi9f1xSxE_wpXZeTYuUg,positive,0.7,"Great food, especially chicken, worth the hype."
5x0vdiDfw9H71AWWmP3L7w,positive,0.8,"Delicious, leftovers, excited to return."
xsG7m_7nrglV-oqPMz0pEw,positive,0.6,"Delicious food, friendly staff, will return."
njlKLt45ikoV86sddpZXog,positive,0.7,"Favorite spot, great outdoor dining, supportive."
yQKht-WENESfKzBQVivJ6w,positive,0.9,"Compliments coffee, staff, and overall experience."
cG6qCYWVLCvv-Mp_cs5xaw,positive,0.3,"Positive staff, but disappointed with drink taste."
au2t9nLlGLxu_LS9vwogKA,negative,-0.8,"Criticizes price, service, and coffee quality."
eyOzRti4NeAyxSfU0yDHVw,positive,0.85,"Praises food, coffee, service, and return intent."
6cKP_DqmeTK63xoYhz816w,positive,0.9,"Extremely positive about coffee, service, and ambiance."
-_zOkGxdL4tUdktOjtQrMg,positive,0.8,Positive review praising food variety and quick delivery.
swvhn-93CzPNzejHRvaNCA,negative,-0.6,Negative review about mediocre food and high prices.
7i8J_bYFqz1Nppi0EwfLuQ,positive,0.7,Positive review highlighting good food and convenient combo.
PnzzzCGau1_Y8MqtRh_3Dg,positive,0.75,Positive review praising food and fast service.
QGK9SjVpRIVmyE5xjC-URQ,positive,0.85,Positive review with high praise for food and staff.
Mem2t5f-7wZ862yD6QUfWw,positive,0.9,"Favorite cheesesteak, delicious, timely delivery, best fries."
qPSGZFwM37fX__RKscee8g,positive,0.85,"No wait, outstanding steaks, great wings, quick delivery."
4f2anyN4WX0423fumGWPcg,positive,0.8,"Plant-based soft serve, friendly, delicious, tasty toppings."
zFFw85lJaag3kQPpj8QRQQ,positive,0.88,"Favorite açaí bowl, cute, delicious, fun environment."
EEu23zTTjqhuO55kpe_dnA,positive,0.92,"Best smoothie bowl, fresh ingredients, friendly staff, great seating."
KlIa3He9NuJChymQ2tqyjg,positive,0.8,Positive review praising food quality and friendly staff.
XnlESGPTrou7iXuswiDc0g,positive,0.6,Helpful staff and worth the price.
3NxrhkBxhj8gos9RI1JxlA,negative,-0.9,"Disgusting food, bland, tough, unsatisfactory."
a9WcJUvsxgElHVZ2zmBxzQ,positive,0.7,High quality food and consistent service.
P2igkMiHIY48qG8FO0UCEQ,negative,-0.8,"Poor hygiene, mask misuse, health risk."
cyc7tasuOj4bwpgJbdX9uw,positive,0.9,"Compliments menu, food, and future visits."
Znj6d7nTqLzN1aP6J4xCXw,neutral,0.0,Mixed positives and negatives.
MQ6E7jv6ift0LuxWlC3wEA,positive,0.85,"Excellent food, free service, and mimosas."
GxPf3bhVpEIqGHiR6fKG3w,positive,0.9,"Delicious food, great service, and beautiful interior."
1lSTzbySQI7YrK19n0Xjcw,positive,0.88,"Variety, options, clean, pleasant staff."
kg-6z6YhLt12n23qDtMtDg,negative,-0.8,"Delayed delivery, cold pizza, unhelpful service."
4OqLZ8JI_-YMQ1J8adBikg,negative,-0.6,"Tiny, dry wings, broken bones, poor service, high price."
6xtTpe0etWZ4I3QCDUuztw,positive,0.9,"Delicious pizza, great wings, fast service, highly recommended."
6opxgMohlcX7nTCLtGo85g,positive,0.8,"Excellent gyro, perfect bread, meat, sauce, highly praised."
u0FlWj1RvrV6tnKd6C3GVw,positive,0.85,"All dishes amazing, best since moving, great tabbouleh, 5-star."
G0OJ12oiDkw_D2G-2tiwiQ,negative,-0.8,"Poor taste, high price, no return."
HzVL7xK1_-clbb_RO66-UA,positive,0.85,"Great portions, tasty butter chicken, excellent service."
_2rQG9fZc9tz-fexcuf5tA,positive,0.9,"Consistently tasty food, friendly owner, good service."
zribwHqfZ1I5Fkw2aWnGuw,negative,-0.3,Excellent food but staff issues and cleanliness concerns.
KpHbGCzqm37JfBYMt2xgjA,positive,0.7,"Great food, good service, music slightly annoying."
TCjGamJOanqoGlD-bu4DWg,negative,-0.9,"Long wait, cold food, dissatisfied."
VC4lV1Xz3KF2g4DuJkpDeQ,negative,-0.85,"Missing ingredients, poor quality, no utensils, furious."
jsIUoBJhsis9aBogzVz0fg,negative,-0.8,"Unattentive service, delayed food, high gratuity, dissatisfied."
IIWMO1pfAei3c-Mo8I-RFA,neutral,0.0,"Good drinks, rushed service, mixed feelings."
8zJRhmNlypbNmY5iviOTfQ,negative,-0.9,"Cold fish, tiny portions, overpriced, disappointed."
-QnfLyoKiTnlNd7tDkgsZQ,negative,-0.6,"Food underwhelming, disappointed compared to past experience."
MeOYaCb-M9kQPIiP9fNQZA,negative,-0.7,"Turned away, disappointed, not as good as before."
35DDmig4gAB7-9IEb-_dkg,negative,-0.6,"Deceiving, low quality, disappointed by price."
mr0ZYFbY7AHCkUtv6E8vjg,negative,-0.8,"Poor service, no masks, disrespectful."
Gjll6CaHCdGS9reSu_-0nw,negative,-0.9,"Fraudulent charges, untrustworthy staff."
gKl-fJEkxO18OsDEoe_BxQ,positive,0.8,"Great chicken, honey garlic, will return."
_2RF4pBk96MX1m6esM7eoQ,negative,-0.7,"Disappointing sandwich, overpriced, not worth returning."
j6NmmRU4tij4Vsb4pyQHpw,positive,0.7,"Delicious fries, must have, great experience."
0kICicK4mp8DbYB5IPSbug,positive,0.5,"Good latte, great croissant, overall positive."
7dPYYXAXylizZGzGDDXEnQ,positive,0.9,"Favorite spot, friendly staff, great options."
DEecNGcMckOwgSIO-fjDyQ,positive,0.9,"Enthusiastic praise, recommends strongly, highlights quality and friendly service."
L8x0F0hVbbpSZ65qYxTRfw,positive,0.85,"Positive review, praises service and product, repeats order."
phRWedq1TzocG2KfLXu8cw,positive,0.8,"Extremely positive, best chai, personal dedication."
331AwDVvfapAMU49I1vFng,positive,0.75,"Positive, praises cozy atmosphere and tasty bread."
xO86DghztJr6HBWFyGWfmQ,positive,0.8,"Positive, tasty, fast service, perfect experience."
QwxTfRo8uzy2iSeb4tSelw,positive,0.8,"Great coffee, friendly staff, positive experience."
IoiqOUFUpB3AUMMfQ8QFsg,negative,-0.4,Good food but portion size disappointing.
xnPYsccJEyz0_O9ipIKzlA,positive,0.75,"Excellent tacos, great service, fun atmosphere."
EYZ3AyQ3gO92WuNiB7e7Tw,positive,0.85,"Delicious food, friendly staff, highly recommended."
q4Ib60lC4qweI1q8wW0VTQ,positive,0.8,"Great tacos, fun vibe, highly recommended."
_ajX7GORm4Ur2lIzSfHasw,negative,-0.6,"Disappointed, not returning."
H-yxoSNv-ARJoOXoONBTyA,positive,0.8,Highly praised food variety.
lHIOzSAryaDOXPJ9i89ChA,positive,0.9,"Outstanding lamb, great value."
oF4ahgxVs8RqTYLg6zGMCA,positive,0.85,"Excellent bagels, highly recommended."
S-U4WdO71AD8oBnKnyntxA,positive,0.7,"Consistent quality, friendly staff."
3-4xiZOWYk4dFbbSdrZrLw,negative,-0.8,"Disappointed with price and portion, negative experience."
kFB9dxGT5KnFRNsC30YT3g,neutral,0.0,"Mixed feelings, mild praise but no strong sentiment."
OoIayMEuh0v5izRQXdiolw,positive,0.6,"Positive about food, satisfied."
NIaxueQP2GIyrKZ1_wAGMA,positive,0.8,"Highly positive, praising quality and quantity."
P5WEKmBOBQKZFqvlw_BS2Q,positive,0.9,"Very positive, family loved food, will return."
lzB9GLRBZyO6qCCce-S_aw,positive,0.8,"Good food, large portions, well packaged."
Y-4VdrkuHvSRmjeOxd-Jng,negative,-0.9,Consistently poor food quality and service.
jRdBwJ8XsXJj5Yc6Uli0RA,negative,-0.6,"Long wait, missing condiments, unsatisfactory service."
Spg63NyFMRgVt8iNjbvvxQ,positive,0.9,"Excellent food, service, and dining environment."
54VA_j6L2IhLbo7VPajTgg,negative,-0.8,"Poor food, mediocre service, unsatisfactory overall."
64hJz1AfuB8rOy_VfW6ZvQ,positive,0.9,"Enjoyed food, will return."
yvAJMyI9_6jkxl9jDIqn7w,neutral,0.0,"Mixed experience, no strong sentiment."
XVyxnom01yLCzMCjp2TPSA,positive,0.8,"Fresh sushi, worth the wait."
7wsW_nj1f0UZEfH3lvhnFw,positive,0.85,"Excellent sushi, slow service but recommended."
AIlJU-pQ9mcOb-reKoUIsw,neutral,0.0,No opinion on restaurant quality.
choa3mquLEAiat1Z6QZxJA,positive,0.9,"Positive review, glowing rating, will return."
uk_cIKHPRogB4lOdTy_Ytw,positive,0.8,"Positive, says 'dang good', will return."
9PSA4ewl6pYAWRTn7e1FfA,positive,0.85,"Positive, tasty food, fast service, loved the place."
EPn2LqyF36Puz_lLnpCi9Q,negative,-0.6,"Negative, pet policy violation, rude language."
OCmncGmbBfx0pb4Qrww-Mg,positive,0.9,"Positive, enthusiastic, will return, praising bartender."
6jDqKQwP4ISy1LhhjFVTaQ,negative,-0.8,"Poor taste, missing ingredients, overcooked rice."
1LhEwmfGJ9gbjrEMNsNmkw,positive,0.9,"Delicious breakfast, unique combo, great service."
GceRtm4zwpF_PuHd_yjzPA,negative,-0.6,"Hot, wrong orders, near drop, despite good waitress."
4jUheibPV_RtVnfaNCT8UQ,positive,0.8,"Fresh fruit, generous portions, great presentation, minor coffee issue."
AR626vDztj42_8IlrpKXnQ,positive,0.5,"Great sandwich, good pictures, minor service issues."
u4ZBMDyZGu4DopdOWrE3DA,negative,-0.6,"Not recommended, better options available."
96sK94cnid7Me8wTUjUY3g,neutral,0.0,Favorite spot but uncertain status.
f0WELE1Lh-XQv0U8ES_aSg,negative,-0.7,"Meat overload, bread fails, negative experience."
VE9gvahOChLO2wZG3ytmTg,negative,-0.4,"Consistency issues, wait longer than promised."
aUMgOWFRuBodAZc7_vwGxQ,positive,0.8,"Best hoagie, enjoyed every bite, excited for next."
vp5397k5XkJxS_Kbr97Fsg,positive,0.9,"Delicious food, friendly staff, worth price."
RciJzgF_yf2o4mXEkmn-rw,positive,0.8,"Great ambiance, stellar drinks, knowledgeable staff, high price but worth."
zGGg0HQWEGRrC7JlYN5W1w,positive,0.85,"Amazing cocktails, creative tasting menu, excellent ambiance, will return."
nO9348MYbPJFNNCptKIxQw,positive,0.88,"Creative menu, great service, delicious dishes, highly recommended."
vz-LbXWE2XYajbH8aelMhw,positive,0.86,"Tasting menu satisfied, professional staff, delicious highlights, will return."
A6cMYLlZdZ5hTnv7Rk9NkQ,positive,0.8,"Excellent food and service, very positive experience."
wDsr3dJHzbQtHveYT-F8-g,positive,0.9,"Consistently great food, service, and overall experience."
03bqBx7FF8lxOuIfHWXfbg,positive,0.85,"Delicious food and friendly service, highly recommended."
yn8JPICCnpJLGsx1lGSKjg,neutral,0.0,"Good food and staff, but high prices."
J_uti7dHG-aYWy1KfbgCXQ,positive,0.6,"Great food, but staff fatigue affected experience."
1qML3z5puBx-HqdX6eLmcg,negative,-0.9,Harsh criticism of service and staff.
cJqBVZBEX0Ya1J0WPfWiKA,negative,-0.4,Positive staff but rude hostess dominates.
kM1EL7mXKmAv8u-ts4E9Qw,negative,-0.6,Offensive policy caused them to leave.
vmINlqNQ2MCVztK-0_h-7g,positive,0.8,Positive recommendation and good atmosphere.
-hfcybfWPoLlKJDmBpC5cA,positive,0.9,"Excellent service and food, highly recommended."
SpqIOYIxF83LVTzrpTJufQ,positive,0.9,"Highly positive praise, mentions longevity, quality, vegan option."
4vGn5RClQg1VA9mdw_3-Vg,positive,0.85,"Expresses love, organic, friendly staff, frequent visits."
qsmxc1HVw1Pr5OWuIDluIw,positive,0.88,"Delicious vegan food, helpful server, great atmosphere."
heLMzMj-um1GI4E6D_8sIQ,positive,0.8,"Friendly staff, tasty food, daily desire."
SO4C4yYKnnjR2tzxh6KG4g,positive,0.9,"Excellent keto options, helpful staff, outstanding dishes."
SMOSafALI1s6brrrEjK_Xg,positive,0.9,"Positive experience, fresh food, friendly staff, repeat intent."
PxugaHc5gOgkzUZGql837Q,positive,0.85,"Delicious pastries, friendly staff, enthusiastic return."
uZN-mq9AlwWDpyMRtJuzJg,positive,0.8,"Highly recommended, tasty baked goods, love coffee."
qOsAk2zvHju_y2jcuzuzEg,positive,0.85,"Delicious latte, great vibe, intent to return."
l9URhVfhJ0GiN3-ooQWhrg,positive,0.9,"Cute addition, sweet staff, 10/10 rating, return intent."
DNlKtyOPm-Uq9sky_7Jxkw,positive,0.9,"Praises vegan banana bread, calls shop a gem."
Dkt6l8gyO6qgu2O1-19KHQ,negative,-0.8,"Strong negative complaint about service, warns others."
XNHvOdGfINwxAdiLkUzpqQ,negative,-0.7,"Complains about cover charge, service, and unfair pricing."
kyD12NahddSZdmtnT1O7cw,positive,0.8,"Positive about food, service, atmosphere, but notes leaking ceiling."
ZyVNcK0a4F-yuipx-naR4A,neutral,0.0,"Uncertain, no direct opinion."
VfHP1kOOr5nLW1o7S10F2w,negative,-0.8,Complains about high cover charge and poor experience.
Sz7rhDRYZ6D_5zrNYrbI3A,positive,0.9,Enthusiastic praise for food and lifestyle fit.
C7ZVCqR7Hn-cKw_P-Lz9xw,positive,0.7,Positive review of overall good experience.
D0c-ijYaBitcCxfJ1b7lNQ,positive,0.8,Positive comments on food variety and service.
baMyVXVP72Rx6lpfeDhxiQ,negative,-0.6,Negative health warning despite recommendation.
a_jEiijZD8slppcawCsTPw,positive,0.9,"Extremely positive, praises food, staff, and location."
VKllOCm_4hZlXkscjkRifw,negative,-0.9,"Very negative, complains about service and management."
rR_4svd4A7R8zZFPLPH5Yg,negative,-0.8,"Negative, mentions wrong order and cockroach."
QRzaXM-toXOaMcrJGb2EOw,negative,-0.85,"Negative, complains about closed store and rude staff."
QRIQ2LzcodP4SgR_fl-_oA,negative,-0.7,"Negative, criticizes workers and corporate."
xpNl0aDKqrUfTqAH4vEKcg,negative,-0.9,"Consistently missing items, bad attitude, stale fries."
ic4158ZR-RKyJke20HhkBg,negative,-0.85,"Worst McDonald's, awful service, frequent order mistakes."
dx2SNYPgStvlptCP6Alckg,positive,0.8,"Favorite Cuban toast spot, consistent quality, loyal customers."
9YW1Ow753s_soa5b91Z6AA,positive,0.6,"Good food, lively atmosphere, minor issues."
AZjB5a0HQrCTYkcOCVjYJg,negative,-0.4,"Good food, terrible service, forced to leave."
eP2qA9Rf8cyikS5KcM1k7w,positive,0.9,Highly enthusiastic praise for food and staff.
M1HlCItIZyib4tZZQzqklA,negative,-0.6,Good food but negative recommendation.
RJ1y9BzgQSXxLWlid3F1XQ,positive,0.8,"Positive experience, recommends food."
yptyY2fnQD9d_2Ecezrk9w,negative,-0.8,"Racist staff, bad service, mediocre food."
EWn7T2zNPCBS5ef4--KXiA,positive,0.5,"Tasty food, decent meal, will return."
6-oTUtEIJluglRQmZ0-yQg,positive,0.8,"Friendly staff, great food, perfect for date night."
SVLLNaMAeUAuWyr8PdxOcA,negative,-0.6,"Awful service, racism, good food but no return."
cPa0HnMFNwZEBQIkqgfF-w,positive,0.7,"Delicious food, easy reservations, but seating privacy issues."
2cjyRj82VYaPhUhmO4vi3g,neutral,0.0,"Good PBR, but soggy bread detracts."
lT6Wh032um2EMj4pZPabOQ,negative,-0.7,"Disappointing pork, bland cheese, tasteless rabe."
adwLUC3furbYF3ijfGMwQg,negative,-0.9,"Very negative language, complaints about service."
CDhXL4Jt-vNG8ZY88gaFyg,negative,-0.8,"Complaints, rude staff, long wait."
aUFDOHYOqMMYXg2G_rZA6g,negative,-0.95,"Harsh insults, food poisoning, manager dislike."
Owl6kZQ6Tvlb6A3UZQTFMQ,negative,-0.6,"Mostly negative, but acknowledges bartenders."
-E8NaMpvdqcf8Z231Rb5DQ,neutral,0.1,"Mixed tone, no strong sentiment."
71s0VWNU0OKp2Ri9RLyY-Q,positive,0.8,"Positive review praising cleanliness, staff, food, atmosphere."
svICk-d9XsY-Y90rTJqcMQ,positive,0.9,Highly positive praise for food and recommendation.
oFN7M4EKqtSVlo8tHreNaA,positive,0.85,"Positive review highlighting vibe, service, food quality."
gFomxUVWsPSmet3G-nmV6g,negative,-0.7,Negative experience with packaging and portion size.
AJb1DGMBcEG1M9aTAU-i4A,positive,0.6,Positive overall with minor fish tank issue.
5WsMUjawy2CRGtT4Lbq5dQ,negative,-0.6,"Disappointed, small portions, unlikely to return."
E20SXbHPcLZ_QxsWnSuozA,positive,0.8,"Chef Michael provided amazing cakes, complimentary anniversary cake."
zZ2K1tt6fxdwEMJFVN0mYA,positive,0.9,"Great food, attentive service, loyal customer."
q8aTaQLDsqE_voALKmOm6Q,positive,0.85,"Favorite spot, amazing food, worth the wait."
7asPtFAw075CexByG5bPbw,negative,-0.7,"Rude staff, disorganized, poor Covid adaptation."
FMy1vPJGOnNwRApb_cAiFQ,positive,0.8,"Positive review praising food, service, atmosphere."
vZTUZDrUNS1eke5WAZx4uQ,negative,-0.7,"Negative review about price, food quality, and stomachache."
LTfwxiURLqf-fl9UErcE0w,positive,0.8,"Positive review praising food, service, and atmosphere."
PrcoLKHwsNqq5QN71BfEAw,positive,0.85,Positive review highlighting tasty food and best takeout.
j0xXeuD8qBvv7hSWu6gtPg,negative,-0.5,Negative delivery experience despite good food.
J3TAuevGwM30ZyWXru1Dbw,negative,-0.7,Poor lowmein and dry chicken disappointed.
3CAFoi7kY33JyJFDLSD3ZA,positive,0.8,"Favorite pho, reliable, consistent."
_WHeBnP5x6pePC2QJLCMFA,positive,0.85,"Loved fried rice, good packaging, precise delivery."
MgOuZvNG-4xaSteVr9RGNA,positive,0.9,"Favorite, never disappoints, better location, highly recommend."
NVC93H637aNMidyspoUDXQ,positive,0.75,"Delicious wrap, good toppings, excited to try more."
